FinalArmDistanceStd,return-min,time-eval,last-path-return,FinalGoalDistanceMax,FinalArmDistanceAvg,episode-length-min,time-sample,time-total,return-std,episode-length-avg,FinalGoalDistanceAvg,FinalGoalDistanceMin,qf2-avg,qf1-std,mean-sq-bellman-error2,pool-size,qf2-std,time-train,vf-avg,return-max,FinalArmDistanceMin,vf-std,max-path-return,mean-sq-bellman-error1,total-samples,episode-length-std,qf1-avg,mean-qf-diff,FinalArmDistanceMax,epoch,episodes,episode-length-max,FinalGoalDistanceStd,return-average
0.0,-708.68049474,16.67178298300132,[-670.22339001],0.227237457286,0.234638569667,1000,5.6069000898860395,2431.686442754697,0.0,1000.0,0.227237457286,0.227237457286,-223.721,247.596,1.2687,47000,247.596,32.929977343417704,-219.115,-708.68049474,0.234638569667,246.042,[-418.24674983],1.07283,47000,0.0,-223.721,1.04991,0.234638569667,46,47,1000,0.0,-708.68049474
0.0,-648.893185518,16.668427011929452,[-444.52813598],0.14357398671,0.355685434147,1000,5.2898235998582095,2484.0111507477704,0.0,1000.0,0.14357398671,0.14357398671,-227.055,256.608,1.46941,48000,256.608,30.35172603232786,-222.028,-648.893185518,0.355685434147,254.926,[-418.24674983],1.76333,48000,0.0,-227.055,1.07344,0.355685434147,47,48,1000,0.0,-648.893185518
0.0,-654.209069801,16.684414771036245,[-672.39467127],0.20986557008,0.363794062662,1000,5.553870955249295,2538.747458079015,0.0,1000.0,0.20986557008,0.20986557008,-191.918,236.1,1.17749,49000,236.1,32.506139706936665,-187.746,-654.209069801,0.363794062662,234.604,[-418.24674983],1.03554,49000,0.0,-191.918,0.931044,0.363794062662,48,49,1000,0.0,-654.209069801
0.0,-708.51085716,16.67848294507712,[-612.67021031],0.25388293548,0.160290844685,1000,5.236277375137433,2590.857809945126,0.0,1000.0,0.25388293548,0.25388293548,-173.8,236.784,1.40825,50000,236.784,30.203455126844347,-169.702,-708.51085716,0.160290844685,235.769,[-418.24674983],1.51338,50000,0.0,-173.8,1.01406,0.160290844685,49,50,1000,0.0,-708.51085716
0.0,-705.828188922,16.670414277003147,[-638.86246355],0.26017114964,0.247630954844,1000,5.132516568759456,2642.1989908321993,0.0,1000.0,0.26017114964,0.26017114964,-204.404,249.259,0.854666,51000,249.259,29.540767801227048,-200.451,-705.828188922,0.247630954844,247.734,[-418.24674983],1.156,51000,0.0,-204.404,0.999145,0.247630954844,50,51,1000,0.0,-705.828188922
0.0,-675.164153034,16.669878504937515,[-733.11396862],0.274002201499,0.495749449202,1000,5.607047334313393,2696.741735399468,0.0,1000.0,0.274002201499,0.274002201499,-173.02,236.293,1.241,52000,236.293,32.26390543289017,-168.63,-675.164153034,0.495749449202,234.527,[-418.24674983],1.61952,52000,0.0,-173.02,1.04541,0.495749449202,51,52,1000,0.0,-675.164153034
0.0,-648.902495998,16.678633209085092,[-682.07191929],0.165285334863,0.299911284739,1000,5.1761523524764925,2748.4508116756333,0.0,1000.0,0.165285334863,0.165285334863,-162.402,229.545,1.01702,53000,229.545,29.85633106844034,-159.068,-648.902495998,0.299911284739,228.343,[-418.24674983],1.3787,53000,0.0,-162.402,1.01363,0.299911284739,52,53,1000,0.0,-648.902495998
0.0,-674.337894833,16.67295256606303,[-673.65505071],0.226843267504,0.427973732926,1000,4.978228380554356,2798.12379866268,0.0,1000.0,0.226843267504,0.226843267504,-165.723,246.7,1.20036,54000,246.7,27.998573789489456,-162.053,-674.337894833,0.427973732926,244.923,[-418.24674983],0.898012,54000,0.0,-165.723,1.01692,0.427973732926,53,54,1000,0.0,-674.337894833
0.0,-672.596688603,16.700406191986986,[-695.23995517],0.267409490496,0.540505370442,1000,4.926810641423799,2847.5530536503065,0.0,1000.0,0.267409490496,0.267409490496,-149.537,216.685,1.92136,55000,216.685,27.826993045164272,-145.616,-672.596688603,0.540505370442,214.565,[-418.24674983],1.62271,55000,0.0,-149.537,1.0434,0.540505370442,54,55,1000,0.0,-672.596688603
0.0,-647.009775289,16.67327467596624,[-577.8482625],0.23104889533,0.759098994405,1000,5.294827610254288,2899.6924322606064,0.0,1000.0,0.23104889533,0.23104889533,-166.323,242.789,1.12862,56000,242.789,30.17971553793177,-161.813,-647.009775289,0.759098994405,240.704,[-418.24674983],0.964801,56000,0.0,-166.323,1.08513,0.759098994405,55,56,1000,0.0,-647.009775289
