log-sigs-min,epoch,MinProgress,mean-sq-bellman-error1,time-total,return-average,qf1-std,episode-length-std,policy-mus-min,policy-mus-std,vf-std,log-pi-max,StdProgress,vf-avg,mean-sq-bellman-error2,episode-length-max,return-max,MaxProgress,total-samples,log-pi-mean,qf1-avg,time-eval,mean-qf-diff,max-path-return,policy-mus-max,pool-size,log-sigs-max,time-train,episodes,return-min,last-path-return,log-sigs-mean,return-std,log-pi-std,AverageProgress,qf2-avg,episode-length-min,time-sample,qf2-std,log-sigs-std,policy-mus-mean,episode-length-avg,log-pi-min
-0.796324,41,7.9795260781,35.7551,1046.1939976583817,423.280032986,142.203,0.0,-2.64304,0.776386,142.318,-3.51186,0.0,231.985,36.5542,640,423.280032986,7.9795260781,42000,-7.76208,228.829,1.424422712996602,5.70667,648.762321658793,2.66651,42000,-0.181448,7.479787658434361,67,423.280032986,130.9233925381544,-0.461689,0.0,2.0571,7.9795260781,228.829,640,1.4951648639398627,142.203,0.0951796,-0.0467785,640.0,-15.1616
-0.812414,42,11.4252673417,32.8287,1076.5218859031447,571.112192938,145.108,0.0,-3.07284,0.796031,145.622,-3.78598,0.0,223.283,29.3179,1000,571.112192938,11.4252673417,43000,-7.52802,221.133,10.809892710007261,6.34602,648.762321658793,2.69033,43000,-0.123818,11.516642796923406,70,571.112192938,50.54029308703481,-0.45432,0.0,1.91715,11.4252673417,221.133,1000,2.130874680762645,145.108,0.0912702,-0.00532206,1000.0,-13.7228
-0.930188,43,3.02271811213,38.9003,1108.750586377224,158.060004734,136.149,0.0,-2.30677,0.76174,137.646,-3.77985,0.0,223.757,35.7963,1000,158.060004734,3.02271811213,44000,-7.61104,219.968,16.68804895703215,5.95638,648.762321658793,2.68036,44000,-0.200264,13.140630399051588,73,158.060004734,353.2469085599768,-0.44468,0.0,1.88154,3.02271811213,219.968,1000,2.4092739659245126,136.149,0.0880291,0.0663966,1000.0,-14.0887
-0.803366,44,2.48385732796,33.9551,1125.7145856148563,118.425504262,140.78,0.0,-2.98868,0.773403,141.408,-3.77452,0.0,226.991,31.1166,150,118.425504262,2.48385732796,45000,-7.66488,226.899,16.672652941022534,6.16889,648.762321658793,2.56422,45000,-0.16889,12.186778881994542,74,118.425504262,324.8183476279615,-0.454304,0.0,1.97342,2.48385732796,226.899,150,2.266619021538645,140.78,0.091089,0.0492427,150.0,-14.4644
-0.791917,45,3.5061946504,84.3281,1153.0514432465425,206.293080803,141.944,0.0,-2.30642,0.758216,142.056,-3.50971,0.0,241.601,96.2044,1000,206.293080803,3.5061946504,46000,-7.59468,242.706,2.508446844993159,6.02876,648.762321658793,2.27314,46000,-0.151738,8.975827428454068,75,206.293080803,203.40487151185957,-0.440781,0.0,1.90623,3.5061946504,242.706,1000,1.693818319181446,141.944,0.0911883,0.0470279,1000.0,-14.1885
-0.732318,46,7.64590273338,32.7687,1185.4977949162712,417.942927494,125.173,0.0,-2.75297,0.762056,124.924,-3.58916,0.0,255.372,31.9312,1000,417.942927494,7.64590273338,47000,-7.80056,253.699,16.667945189983584,6.56987,648.762321658793,2.47929,47000,-0.179486,13.18870371428784,76,417.942927494,548.2767907270155,-0.434449,0.0,2.09189,7.64590273338,253.699,1000,2.5863367824349552,125.173,0.0878225,0.0119496,1000.0,-17.3336
-0.74903,47,13.785710713,35.6165,1213.2997765765758,708.625803046,123.273,0.0,-2.20628,0.75313,124.926,-3.7455,0.0,251.122,30.4071,1000,708.625803046,13.785710713,48000,-7.82197,251.477,16.667599999986123,6.48744,648.762321658793,2.55862,48000,-0.154891,9.313552603998687,78,708.625803046,149.6860130006744,-0.43265,0.0,1.98197,13.785710713,251.477,1000,1.8267118303338066,123.273,0.0857014,0.0294856,1000.0,-15.3017
-0.757565,48,5.41081430759,37.667,1231.3740296802134,291.271766784,128.909,0.0,-2.90037,0.748718,130.361,-3.90174,0.0,251.217,25.3213,550,291.271766784,5.41081430759,49000,-7.88316,250.081,16.66005241399398,5.98064,648.762321658793,3.20778,49000,-0.20396,7.434867523494177,80,291.271766784,284.61967104261794,-0.431086,0.0,2.08538,5.41081430759,250.081,550,1.4749327240278944,128.909,0.0900065,-0.0138307,550.0,-15.3681
-0.69875,49,7.20057761132,35.1274,1262.5725348294945,393.670505361,127.824,0.0,-2.91319,0.7657,128.732,-3.75773,0.0,244.999,30.718,1000,393.670505361,7.20057761132,50000,-8.10319,244.352,9.178248808020726,5.64166,648.762321658793,3.27176,50000,-0.0844953,12.216174885514192,81,393.670505361,426.97777976200274,-0.419095,0.0,1.96845,7.20057761132,244.352,1000,2.3047057756921276,127.824,0.0849681,0.0694115,1000.0,-14.3715
-0.782068,50,13.1446316668,33.4869,1291.7562213087804,599.506899626,136.364,0.0,-2.39356,0.75122,135.476,-3.97274,0.0,246.411,29.3537,1000,599.506899626,13.1446316668,51000,-7.83201,247.473,16.670068767969497,6.00533,648.762321658793,2.87812,51000,-0.185597,10.565570758772083,82,599.506899626,555.8492944438851,-0.430206,0.0,1.99743,13.1446316668,247.473,1000,1.9233568355557509,136.364,0.0887021,-0.0989341,1000.0,-19.036
-0.724658,51,1.64338460466,51.4977,1303.8073971479316,88.1056183724,122.693,0.0,-2.50436,0.747758,122.426,-3.80545,0.0,247.382,53.5356,107,88.1056183724,1.64338460466,52000,-8.08448,247.343,16.69648182799574,6.11184,648.762321658793,2.84092,52000,-0.170246,8.708993595093489,83,88.1056183724,300.9489372391857,-0.420995,0.0,2.01144,1.64338460466,247.343,107,1.557307367096655,122.693,0.0879204,0.0970916,107.0,-14.8276
-0.768914,52,0.481531448554,134.787,1317.2575505381683,26.9643768762,129.562,0.0,-2.70177,0.764126,131.281,-4.24625,0.0,241.503,124.273,24,26.9643768762,0.481531448554,53000,-7.7027,238.276,1.7903705079806969,6.37627,648.762321658793,2.63408,53000,-0.157396,11.071828143612947,84,26.9643768762,423.2703847519287,-0.418665,0.0,1.82638,0.481531448554,238.276,24,1.9689270317321643,129.562,0.0847453,0.018507,24.0,-14.7784
-0.804098,53,1.48721927916,114.047,1331.272202262713,76.911157256,125.658,0.0,-2.37786,0.745663,125.92,-3.83148,0.0,254.707,116.903,64,76.911157256,1.48721927916,54000,-7.82657,248.204,0.4142569460091181,6.77504,648.762321658793,2.73961,54000,-0.203609,10.973906561092008,89,76.911157256,333.4255983029268,-0.429014,0.0,1.94703,1.48721927916,248.204,64,1.9689415874308906,125.658,0.0891789,-0.0197095,64.0,-15.9401
